,userid
2918,134967717
2925,307688442
2926,120106834
2932,191810425
2941,58768356
2942,200913780
2943,197966478
2946,114972372
2950,106806146
2969,39941720
2970,153821154
2971,138581545
2977,153148942
2980,109165920
3000,103669953
3001,164511211
3003,281857216
3005,11952990
3011,110843185
3013,129795122
3016,70780053
3037,156787969
3042,103731895
3044,83770731
3045,72978546
3053,95780749
3054,126326205
3057,32710856
3060,66229356
3062,130547869
3064,166863117
3066,156071982
3069,58618147
3076,173453295
3082,52731290
3083,161139120
3084,111970037
3090,243522372
3091,168732483
3093,216242027
3095,72523666
3097,17414305
3108,61506388
3112,195171884
3116,46951849
3121,154296520
3123,86338111
3124,92107940
3125,59945701
3133,176539817
3136,239413586
3145,176929122
3147,94161846
3151,243664576
3156,212369949
3157,83497449
3161,256525720
3165,248882404
3168,209817175
3170,112849197
3173,188681523
3187,178893016
3193,87201181
3197,153819708
3198,34972055
3199,193156880
3203,66052983
3207,98818460
3210,161759944
3213,154425908
3223,223064225
3225,30239820
3231,58481977
3238,17495098
3243,182593878
3272,234024191
3275,95911580
3277,136135322
3286,77194086
3303,141721383
3316,174674290
3329,75598925
3330,103631407
3340,115571373
3343,119311184
3361,101339059
3371,113557935
3374,114030647
3379,85759872
3381,167202599
3390,79746085
3393,83090686
3394,171611544
3396,176354321
3399,102263723
3406,135244036
3412,94690173
3414,109780632
3419,92958887
3424,83671083
3426,150282867
3429,164611728
3434,130280718
3440,293042025
3447,81170946
3450,293600797
3456,109967112
3457,190060278
3466,108114779
3468,158576100
3469,54310644
3477,293705270
3479,86499586
3483,158429732
3490,119937035
3497,107977716
3498,54637394
3500,84883272
3523,85673716
3528,88152309
3538,67729331
3550,193103684
3553,93413084
3556,112994491
3563,226923581
3571,141402600
3576,190049238
3579,145275657
3596,101000574
3598,67244867
3600,68809194
3603,136137921
3604,186040249
3610,149741997
3617,31817706
3621,165779930
3622,108639015
3626,54507379
3630,37911248
3647,126191291
3668,97782908
3669,66530362
3673,86738567
3674,61632730
3677,33518079
3680,65315657
3685,219145315
3690,190721470
3706,58931437
3711,112986636
3715,145825155
3717,146427029
3727,299670894
3728,242549338
3729,228302915
3731,166753156
3735,172434236
3736,175128094
3744,242815838
3747,183998097
3750,303274061
3752,242856576
3753,250054424
3760,201283792
3762,224929163
3767,83849502
3774,161919513
3783,110107925
3787,167017825
3788,229791471
3790,251706843
3792,95137775
3794,120838793
3796,129300430
3800,50600002
3803,201757829
3804,304396588
3806,132014951
3807,272852624
3809,300601393
3810,199236587
3813,109173829
3818,181002117
3819,100096071
3823,176223416
3824,302482376
3828,201495555
3834,285869008
3838,227929763
3843,212456283
3847,194641575
3849,67834115
3851,205035443
3859,80239919
3861,180206904
3863,306950369
3864,231026651
3866,210283973
3870,197620904
3874,182771524
3875,185842825
3878,176645108
3886,29983962
3899,102927775
3903,78560022
3910,102921672
3911,116283279
3913,147395962
3914,152959594
3920,159428605
3925,63157803
3930,104380136
3938,126522515
3939,91293844
3953,159277759
3963,22605909
3968,47240858
3974,249165768
3975,218734858
3981,100818860
3982,107273897
3993,28064589
3994,97069030
4000,8795607
4001,95695156
4003,66939289
4004,157341587
4009,37435998
4012,172135798
4021,98649241
4027,120725727
4037,35729292
4048,44755776
4049,111182405
4054,24841093
4055,256645945
4067,67349307
4071,94428876
4075,99484728
4079,117345810
4085,73721802
4087,134223421
4089,90571509
4099,42298912
4101,168244631
4103,67708331
4104,182726567
4109,45030250
4130,11807754
4131,23154676
4152,85458882
4153,74772820
4163,99961115
4170,93341815
4173,54761333
4177,68532738
4178,113580708
4193,92503355
4199,116325720
4207,44321815
4209,183838531
4228,93644606
4245,150882304
4259,108878910
4284,129478138
4285,137451490
4289,128470551
4294,26802825
4301,114924461
4309,182399789
4310,147859903
4316,11207650
4325,151015947
4331,33706322
4338,104120883
4345,99083518
4346,154014392
4353,164296368
4354,102016550
4356,122216032
4358,149920224
4359,100741663
4365,83420834
4366,75277726
4370,216025815
4375,31733654
4398,241210827
4403,159688146
4407,17649444
4423,75232211
4431,166136937
4433,107554143
4434,93108463
4438,223646498
4440,151998898
4442,31849177
4444,55352649
4447,149840320
4455,129162036
4457,159398853
4458,50275189
4467,136495026
4478,144824885
4480,49630184
4483,181476633
4513,52203520
4515,121891688
4528,78053539
4531,10162301
4535,60744461
4543,96784845
4547,58434367
4565,172203679
4579,54568397
4586,78671103
4590,33121288
4593,12195913
4596,260376156
4597,147910240
4598,70489471
4611,99802512
4613,82156706
4615,239661767
4616,138725344
4617,120113754
4618,54999247
4624,114324869
4627,81678279
4629,113321644
4636,23181958
4647,159888236
4648,73481131
4649,7955670
4650,283264914
4652,159841516
4655,248254297
4656,103411746
4657,83975567
4675,157080495
4677,155718820
4680,48365975
4684,118695833
4695,112216065
4697,65610147
4698,90726321
4700,195414910
4706,113039667
4707,38323067
4723,67694595
4734,89555434
4741,197302530
4755,103563010
4762,35039277
4766,91690667
4770,108950666
4772,150182632
4775,48456902
4787,288274882
4793,111190541
4795,163669475
4796,82112070
4810,86332470
4820,54103616
4822,94088853
4826,180789959
4827,162543176
4841,83746733
4862,131227694
4863,215540943
4871,133439311
4881,145927933
4886,88344296
4888,58217836
4891,93669877
4919,110489310
4923,77279068
4924,69587339
4932,147879598
4935,34442062
4951,175690339
4955,15221799
4964,160767652
4965,3979930
4972,163712958
4983,162081645
4985,121884238
4989,92904111
4997,140820563
4999,156440750
5008,259477553
5010,152078939
5018,151256632
5021,203101149
5023,108943853
5025,215208719
5026,237848513
5036,126340495
5039,124712421
5048,122679931
5051,153097805
5052,186642906
5073,112376397
5075,191780526
5079,220561138
5082,88813210
5091,129391396
5100,185130561
5111,51132884
5114,9563573
5118,101529420
5126,115487966
5152,137334839
5157,299315042
5162,208900216
5171,65533730
5173,61772065
5177,110369840
5183,257449387
5185,184987886
5191,118971362
5192,159411437
5193,16154372
5195,111551727
5198,96440794
5217,210576042
5227,94142618
5277,59536273
5279,88921433
5291,156615447
5297,126701146
5310,277635586
5328,10181060
5349,82778779
5352,2643609
5355,200059104
5376,21316693
5383,113546110
5405,298884520
5408,96221495
5412,80988171
5417,40837142
5439,65152385
5445,273437868
5466,65225038
5473,90154893
5496,143062096
5499,100833937
5530,309167186
5532,153144971
5533,213022303
5545,148674157
5554,153643202
5561,86623169
5571,144580725
5575,161338471
5578,27901693
5592,100053304
5594,3527485
5603,157391838
5609,303007171
5618,124878949
5621,300217861
5629,76767
5651,106834867
