,Name,IsFree,Metacritic,PCMinReqsText,PriceFinal,ReleaseDate,DLCCount
8251,MAGIX Photostory 2016 Deluxe,False,0,Minimum:OS: Windows 7 (64-bit)Processor: 2 GHzMemory: 2 GB RAMGraphics: Onboard with a minimum resolution of 1280x768Network: Broadband Internet connectionStorage: 2 GB available spaceSound Card: Internal sound cardAdditional Notes: Supported import formats - Video: AVI DV-AVI HEVC/H.265* MPEG-1/-2/-4 M(2)TS/AVCHD MXV MJPEG MOV WMV(HD) - Audio: WAV MP3 OGG WMA MIDI - Images: JPEG BMP GIF TIF | Supported export formats - Video: AVI DV-AVI MJPEG MPEG-1/-2/-4 MOV WMV(HD) - Disc: DVD Blu-ray Disc - Images: JPEG BMP GIF,89.99,Apr 12 2016,0
6490,Gary Grigsbys War in the East,False,0,Minimum:OS: Windows XP/Vista/7Processor: Pentium 4  1.5 GHzMemory: 1 GB RAMGraphics: 128MB DirectX 9+ CompatibleDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: 16 bit DirectX 9+ Compatible,79.99,Jul 9 2015,2
2385,Wing IDE 5,False,0,Minimum:OS: Windows XPMemory: 300 MB RAMStorage: 200 MB available space,79.99,Apr 30 2014,1
6186,RPG Maker MV,False,0,Minimum:OS: WindowsR 7/8/8.1/10 (32bit/64bit)Processor: Intel Core2 Duo or betterMemory: 2 GB RAMGraphics: DirectX 9/OpenGL 4.1 capable GPUStorage: 1 GB available spaceAdditional Notes: 1280x768 or better Display,79.99,Oct 23 2015,24
4527,Command: Modern Air / Naval Operations WOTY,False,0,Minimum:OS: Windows XP SP3 / Vista / 7 / 8Processor: 1 GHz (Dual-core Pentium and above recommended)Memory: 1 GB RAMGraphics: Video/Graphics: DirectX 9.0c compatible video card with 16 MB RAMStorage: 10 GB available spaceSound Card: Compatible sound card,79.99,Sep 26 2014,2
10148,SMILE GAME BUILDER,False,0,Minimum:OS: Microsoft(r) Windows7/8/10 (32/64bit)Processor: Intel Core 2 Duo processor or AMD Athlon(tm) 64Memory: 2 GB RAMGraphics: Intel HD graphics 4400 or more Radeon HD graphics 5430 or more OpenGL 3.0 or moreDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 800 MB available spaceAdditional Notes: Performance is not guaranteed under a virtual or emulated environment.,79.99,Sep 7 2016,3
10075,Crazy Stone Deep Learning -The First Edition-,False,0,Minimum:OS: Windows(R) 7/8/8.1/10 (32/64bit)Processor: 2GHz dual core processor or higherMemory: 1 GB RAMGraphics: 800x600 High Color (16bit) or moreStorage: 200 MB available space,79.99,May 25 2016,0
4656,Muvee Reveal 11,False,0,Minimum:OS: Microsoft(r) Windows 8 Microsoft(r) Windows 7 Microsoft(r) Windows Vista Microsoft(r) XP (Service Pack 3)Processor: Intel Pentium 4 AMD Athlon 64 (or equivalent) 2GHz or higherMemory: 128 MB RAMGraphics: Must support Open GL 1.4Storage: 1 GB available space,79.99,Apr 10 2015,0
10919,Sceelix - Procedural Power,False,0,Minimum:OS: Windows 7 or betterProcessor: Intel Core 2 or AMD equivalentMemory: 512 MB RAMGraphics: 512MB Video MemoryDirectX: Version 9.0cStorage: 500 MB available space,75.0,Sep 6 2016,0
11774,akeytsu Indie,False,0,Minimum:OS: Windows Vista or higherProcessor: Single-core Pentium 1.5 GHz or betterMemory: 100 MB RAMGraphics: Graphics card with OpenGL 2.0 capabilitiesStorage: 55 MB available spaceAdditional Notes: About GPU anything made since 2004 should work. However on old hardware you may encounter performance or texturing limitations mainly based on the amount of RAM available. Integrated GPUs (mostly Intel) should be avoided in favor of dedicated GPUs (nVidia AMD).,71.99,Sep 28 2016,0
5286,DP Animation Maker,False,0,Minimum:OS: Microsoft(r) Windows(r) XPProcessor: 2.6 GHz Pentium IV or equivalent AMD Athlon processorMemory: 1 GB RAMGraphics: Model Shader 2 Compatible Video Card 512 MB or betterDirectX: Version 8.1,69.99,Feb 16 2015,0
8435,CyberLink PhotoDirector 7 Ultra,False,0,Minimum:OS: Microsoft Windows 10 8.1/8 7 VistaProcessor: Intel Pentium D 3.0 GHz CPU with hyper-threading or equivalent AMD CPUMemory: 2 GB RAMGraphics: 128 MB VRAM is requiredStorage: 1 GB available space,69.99,Dec 15 2015,0
5810,CyberLink PowerDirector 14 Ultra,False,0,Minimum:OS: Microsoft Windows 10 8.1/8 7 VistaProcessor: AVI Capture/Produce: Profiles: Pentium 4 3.0 Ghz or AMD Athlon 64 X2Memory: 2 GB RAMGraphics: 128 MB VGA VRAM or higherStorage: 7 GB available space,69.99,Nov 19 2015,0
4814,MAGIX Fastcut,False,0,Minimum:OS: 64-bit systems Microsoft Windows 8.1 | 8 | 7Processor: Multi-core processor with 2 GHzMemory: 4 GB RAMGraphics: Onboard minimum resolution 1024x768Storage: 2 GB available spaceAdditional Notes: Supported import formats: (DV-)AVI MPEG-1/4 M(2)TS MXV MOV WMV(HD) H.264 AVCHD | Supported export formats: MPEG-4  WMV (HD) | Works with video material from all kinds of sources: Action cams screen capture footage from e.g. FRAPS webcams SLR cameras smartphones & tablets,69.99,Dec 4 2014,0
8144,PD Howler 10,False,0,Minimum:OS: Windows 7/8/10Processor: New enough to support GDI+Memory: 2 GB RAMAdditional Notes: Some features wont work in XP or Vista,69.99,May 6 2016,0
4318,WorldCreator,False,0,Minimum:OS: Microsoft Windows Vista 7 8 or 8.1 (64 bit)Processor: Intel Core2 Duo E8200 2.66 GHz or equivalent AMD processorMemory: 4 GB RAMGraphics: Microsoft DirectX 10.0 compatible graphics cardDirectX: Version 10Storage: 1 GB available space,69.99,Oct 20 2014,0
1940,RPG Maker VX Ace,False,0,Minimum:OS:Microsoft(r) Windows(r) XP / Vista / 7 (32-bit/64-bit)Processor:Intel(r) Pentium(r) 4 2.0 GHz equivalent or faster processorMemory:512 MB RAMGraphics:1024 x 768 pixels or higher desktop resolutionHard Drive:400 MB HD space,69.99,Dec 10 2012,101
8471,FritzChess 15,False,0,Minimum:OS: Windows XP (Service Pack 3)Processor: Pentium III 1 GHzMemory: 2 GB RAMGraphics: Graphic Card with 256 MB RAMDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 1 GB available spaceAdditional Notes: Windows Media Player 9,64.99,Feb 22 2016,0
6150,IPackThat,False,0,Minimum:OS: Windows 7 x64Memory: 1 GB RAMStorage: 12 MB available space,64.99,Oct 6 2015,1
12653,Dishonored 2,False,86,Minimum:OS: Windows 7/8/10 (64-bit versions)Processor: Intel Core i5-2400/AMD FX-8320 or betterMemory: 8 GB RAMGraphics: NVIDIA GTX 660 2GB/AMD Radeon HD 7970 3GB or betterStorage: 60 GB available space,59.99,Nov 11 2016,0
6747,Fallout 4,False,84,Minimum:OS: Windows 7/8/10 (64-bit OS required)Processor: Intel Core i5-2300 2.8 GHz/AMD Phenom II X4 945 3.0 GHz or equivalentMemory: 8 GB RAMGraphics: NVIDIA GTX 550 Ti 2GB/AMD Radeon HD 7870 2GB or equivalentStorage: 30 GB available space,59.99,Nov 9 2015,7
2067,You Need a Budget 4,False,0,Minimum:Windows XPProcessor:2.33GHz or faster x86-compatible processor or Intel Atom(tm) 1.6GHz or faster processor for netbook class devicesMemory:512 MB RAMHard Drive:100 MB HD space,59.99,Dec 19 2012,0
6279,Tom Clancys The Division(tm),False,0,Minimum:OS: Windows(r) 7 Windows 8.1 Windows 10 (64-bit versions only)Processor: Intel Core i5-2400 | AMD FX-6100 or betterMemory: 6 GB RAMGraphics: NVIDIA GeForce GTX 560 with 2 GB VRAM (current equivalent NVIDIA GeForce GTX 760) | AMD Radeon HD 7770 with 2 GB VRAM or better - See supported List*DirectX: Version 11Network: Broadband Internet connectionStorage: 40 GB available spaceAdditional Notes: Laptop models of these desktop cards may work as long as they are on-par in terms of performance with at least the minimum configuration. For an up-to-date list of supported hardware please visit the FAQ for this game on our website: http://support.ubi.com.*Supported NVIDIA cards at time of release: GeForce GTX500 series: GeForce GTX560 (2 GB VRAM) or better * GeForce GTX600 series: GeForce GTX660 or better * GeForce GTX700 series: GeForce GTX760 or better * GeForce GTX900 Titan series: GeForce GTX960 or better * Supported AMD cards at time of release: Radeon HD7000 series: Radeon HD7770 (2 GB VRAM) or better * Radeon 200 series: Radeon R7 270 or better * Radeon 300/Fury X series: Radeon R7 370 or better.,59.99,Mar 7 2016,7
1592,Call of Duty(r): Black Ops II,False,74,Minimum:OS: Windows Vista SP2 or Windows 7.  Windows XP is not supportedProcessor: Intel Core2 Duo E8200 2.66 GHz or AMD Phenom X3 8750 2.4 GHzMemory: 2 GB for 32-bit OS or 4 GB for 64-bit OSGraphics: Nvidia GeForce 8800GT 512 MB or ATI Radeon HD 3870 512 MBDirectX(r): 9.0cHard Drive: 16 GB HD spaceSound: DirectX 11.0c compatibleAdditional: Broadband connection required for activation and multiplayer gameplay        Note: Windows XP Operating System is not supported        Further information: Available here,59.99,Nov 12 2012,36
